transaction_id,date,customer_id,product_id,qty,unit_price_idr,revenue_idr,channel
T00053,2024-01-02,C008,P10,4,15000,60000,GoFood
T00054,2024-01-02,,P15,3,8000,24000,Takeaway
T00055,2024-01-02,C006,P12,5,45000,225000,ShopeeFood
T00056,2024-01-02,C011,P12,7,45000,315000,Takeaway
T00057,2024-01-02,,P13,1,50000,50000,Dine-In
T00058,2024-01-02,C015,P10,4,15000,60000,Takeaway
T00059,2024-01-02,C013,P13,1,50000,50000,Takeaway
T00060,2024-01-02,C017,P11,6,12000,72000,Takeaway
T00061,2024-01-02,C009,P15,5,8000,40000,Dine-In
T00062,2024-01-02,C012,P14,1,18000,18000,GrabFood
T00063,2024-01-02,,P15,2,8000,16000,Dine-In
T00064,2024-01-02,,P13,1,50000,50000,Dine-In
T00065,2024-01-02,C011,P13,6,50000,300000,GoFood
T00066,2024-01-02,C010,P11,3,12000,36000,GoFood
T00067,2024-01-02,C005,P15,2,8000,16000,Dine-In
T00068,2024-01-02,,P16,3,9000,27000,GoFood
T00069,2024-01-02,,P14,2,18000,36000,Takeaway
T00070,2024-01-02,C011,P13,6,50000,300000,Takeaway
T00071,2024-01-02,,P13,2,50000,100000,ShopeeFood
T00072,2024-01-02,C020,P12,3,45000,135000,Takeaway
T00073,2024-01-02,C007,P13,3,50000,150000,Dine-In
T00074,2024-01-02,C003,P10,1,15000,15000,GoFood
T00075,2024-01-02,C013,P13,3,50000,150000,Dine-In
T00076,2024-01-02,,P10,4,15000,60000,GrabFood
T00077,2024-01-02,,P16,1,9000,9000,GoFood
T00078,2024-01-02,C004,P17,1,12000,12000,GoFood
T00079,2024-01-02,,P17,3,12000,36000,GoFood
T00080,2024-01-02,,P17,2,12000,24000,GoFood
T00081,2024-01-02,,P17,4,12000,48000,GoFood
T00082,2024-01-03,C017,P13,4,50000,200000,GoFood
T00083,2024-01-03,C010,P13,1,50000,50000,Dine-In
T00084,2024-01-03,C005,P15,1,8000,8000,Dine-In
T00085,2024-01-03,,P16,3,9000,27000,Dine-In
T00086,2024-01-03,C002,P16,1,9000,9000,Dine-In
T00087,2024-01-03,,P16,2,9000,18000,ShopeeFood
T00088,2024-01-03,,P10,4,15000,60000,Takeaway
T00089,2024-01-03,C013,P10,5,15000,75000,GrabFood
T00090,2024-01-03,,P16,2,9000,18000,GrabFood
T00091,2024-01-03,C016,P13,2,50000,100000,Dine-In
T00092,2024-01-03,,P15,3,8000,24000,GrabFood
T00093,2024-01-03,,P17,5,12000,60000,GoFood
T00094,2024-01-03,C003,P16,2,9000,18000,GoFood
T00095,2024-01-03,C009,P12,4,45000,180000,Takeaway
T00096,2024-01-03,C013,P13,2,50000,100000,Takeaway
T00097,2024-01-03,C001,P16,1,9000,9000,GrabFood
T00098,2024-01-03,C003,P10,6,15000,90000,GrabFood
T00099,2024-01-03,,P10,3,15000,45000,Dine-In
T00100,2024-01-03,C016,P10,2,15000,30000,GoFood
T00101,2024-01-03,C012,P13,2,50000,100000,Dine-In
T00102,2024-01-03,C010,P11,3,12000,36000,Dine-In
T00103,2024-01-03,C013,P10,5,15000,75000,Takeaway
T00104,2024-01-03,C008,P13,1,50000,50000,Dine-In
T00105,2024-01-03,C004,P14,4,18000,72000,GrabFood
T00106,2024-01-03,C012,P10,1,15000,15000,Dine-In
T00107,2024-01-03,C016,P15,1,8000,8000,Dine-In
T00108,2024-01-03,,P15,2,8000,16000,GrabFood
T00109,2024-01-03,C009,P16,1,9000,9000,GoFood
T00110,2024-01-03,,P17,2,12000,24000,GoFood
T00111,2024-01-03,,P15,4,8000,32000,Dine-In
T00112,2024-01-03,C020,P17,1,12000,12000,GoFood
T00113,2024-01-03,,P15,1,8000,8000,Dine-In
T00114,2024-01-04,C020,P15,3,8000,24000,GrabFood
T00115,2024-01-04,C007,P14,2,18000,36000,Dine-In
T00116,2024-01-04,,P16,2,9000,18000,GoFood
T00117,2024-01-04,C010,P17,2,12000,24000,Dine-In
T00118,2024-01-04,C016,P13,1,50000,50000,GoFood
T00119,2024-01-04,,P15,2,8000,16000,Takeaway
T00120,2024-01-04,C004,P17,1,12000,12000,GrabFood
T00121,2024-01-04,C006,P15,1,8000,8000,Dine-In
T00122,2024-01-04,C017,P17,1,12000,12000,GoFood
T00123,2024-01-04,C012,P11,4,12000,48000,Dine-In
T00124,2024-01-04,C002,P10,3,15000,45000,ShopeeFood
T00125,2024-01-04,C016,P14,3,18000,54000,Dine-In
T00126,2024-01-04,C015,P10,2,15000,30000,Takeaway
T00127,2024-01-04,,P10,1,15000,15000,Dine-In
T00128,2024-01-04,C002,P11,2,12000,24000,Dine-In
T00129,2024-01-04,C018,P14,1,18000,18000,GrabFood
T00130,2024-01-04,C015,P13,3,50000,150000,Takeaway
T00131,2024-01-04,C020,P16,1,9000,9000,ShopeeFood
T00132,2024-01-04,C007,P11,5,12000,60000,Takeaway
T00133,2024-01-04,C003,P11,1,12000,12000,Dine-In
T00134,2024-01-04,C010,P16,2,9000,18000,Dine-In
T00135,2024-01-04,,P14,3,18000,54000,GoFood
T00136,2024-01-04,,P13,5,50000,250000,GoFood
T00137,2024-01-04,C005,P13,2,50000,100000,ShopeeFood
T00138,2024-01-04,C010,P12,1,45000,45000,GoFood
T00139,2024-01-04,C010,P14,2,18000,36000,GoFood
T00140,2024-01-04,C003,P14,2,18000,36000,GoFood
T00141,2024-01-04,C001,P16,3,9000,27000,Dine-In
T00142,2024-01-04,C009,P10,6,15000,90000,GoFood
T00143,2024-01-04,C009,P12,2,45000,90000,Dine-In
T00144,2024-01-05,C003,P16,2,9000,18000,GoFood
T00145,2024-01-05,C006,P16,1,9000,9000,Takeaway
T00146,2024-01-05,,P17,1,12000,12000,GrabFood
T00147,2024-01-05,C011,P10,4,15000,60000,GrabFood
T00148,2024-01-05,C014,P10,3,15000,45000,Dine-In
T00149,2024-01-05,C015,P15,2,8000,16000,GrabFood
T00150,2024-01-05,C010,P13,1,50000,50000,Takeaway
T00151,2024-01-05,,P17,1,12000,12000,GoFood
T00152,2024-01-05,C001,P13,3,50000,150000,GoFood
T00153,2024-01-05,,P11,1,12000,12000,Dine-In
T00154,2024-01-05,C010,P11,2,12000,24000,GoFood
T00155,2024-01-05,C016,P14,2,18000,36000,Dine-In
T00156,2024-01-05,,P12,2,45000,90000,GoFood
T00157,2024-01-05,C014,P12,4,45000,180000,Takeaway
T00158,2024-01-05,C010,P14,4,18000,72000,GrabFood
T00159,2024-01-05,C016,P17,4,12000,48000,Takeaway
T00160,2024-01-05,C007,P16,2,9000,18000,ShopeeFood
T00161,2024-01-05,C014,P13,2,50000,100000,Dine-In
T00162,2024-01-05,,P17,3,12000,36000,Takeaway
T00163,2024-01-05,C017,P12,2,45000,90000,ShopeeFood
T00164,2024-01-05,,P15,4,8000,32000,Takeaway
T00165,2024-01-05,C005,P17,1,12000,12000,Dine-In
T00166,2024-01-05,C003,P14,1,18000,18000,GrabFood
T00167,2024-01-05,C016,P16,5,9000,45000,GrabFood
T00168,2024-01-05,C010,P10,2,15000,30000,ShopeeFood
T00169,2024-01-05,C004,P11,2,12000,24000,Takeaway
T00170,2024-01-05,C002,P14,5,18000,90000,Takeaway
T00171,2024-01-05,C014,P15,2,8000,16000,GoFood
T00172,2024-01-05,C013,P12,1,45000,45000,GoFood
T00173,2024-01-05,C008,P13,2,50000,100000,GoFood
T00174,2024-01-05,C015,P14,2,18000,36000,ShopeeFood
T00175,2024-01-05,,P12,1,45000,45000,ShopeeFood
T00176,2024-01-05,C009,P14,2,18000,36000,GoFood
T00177,2024-01-05,C016,P14,1,18000,18000,Dine-In
T00178,2024-01-05,C010,P16,2,9000,18000,Dine-In
T00179,2024-01-05,C002,P16,1,9000,9000,ShopeeFood
T00180,2024-01-05,,P17,4,12000,48000,GrabFood
T00181,2024-01-05,C007,P13,2,50000,100000,GoFood
T00182,2024-01-05,,P12,2,45000,90000,GoFood
T00183,2024-01-05,C012,P14,3,18000,54000,GrabFood
T00184,2024-01-06,C007,P14,1,18000,18000,Dine-In
T00185,2024-01-06,,P15,2,8000,16000,GrabFood
T00186,2024-01-06,,P14,5,18000,90000,ShopeeFood
T00187,2024-01-06,C004,P14,3,18000,54000,GoFood
T00188,2024-01-06,,P11,1,12000,12000,GrabFood
T00189,2024-01-06,,P16,6,9000,54000,Takeaway
T00190,2024-01-06,C015,P16,1,9000,9000,Takeaway
T00191,2024-01-06,,P14,2,18000,36000,ShopeeFood
T00192,2024-01-06,C020,P11,3,12000,36000,GrabFood
T00193,2024-01-06,C003,P15,5,8000,40000,GoFood
T00194,2024-01-06,C014,P17,5,12000,60000,Dine-In
T00195,2024-01-06,C016,P10,5,15000,75000,Dine-In
T00196,2024-01-06,C015,P13,4,50000,200000,Takeaway
T00197,2024-01-06,,P16,2,9000,18000,GrabFood
T00198,2024-01-06,C009,P11,4,12000,48000,Dine-In
T00199,2024-01-06,C008,P15,1,8000,8000,GrabFood
T00200,2024-01-06,C012,P11,6,12000,72000,Dine-In
T00201,2024-01-06,C015,P14,1,18000,18000,Dine-In
T00202,2024-01-06,C001,P13,2,50000,100000,Dine-In
T00203,2024-01-06,C019,P15,1,8000,8000,Dine-In
T00204,2024-01-06,,P13,2,50000,100000,Dine-In
T00205,2024-01-06,C009,P12,3,45000,135000,GrabFood
T00206,2024-01-06,C006,P12,6,45000,270000,Dine-In
T00207,2024-01-06,C008,P10,1,15000,15000,GoFood
T00208,2024-01-06,C014,P10,1,15000,15000,GoFood
T00209,2024-01-06,,P11,2,12000,24000,GoFood
T00210,2024-01-06,C020,P11,2,12000,24000,Dine-In
T00211,2024-01-06,,P14,2,18000,36000,Dine-In
T00212,2024-01-06,C004,P17,4,12000,48000,GoFood
T00213,2024-01-06,C020,P17,1,12000,12000,Dine-In
T00214,2024-01-06,C018,P12,1,45000,45000,GrabFood
T00215,2024-01-06,C015,P16,6,9000,54000,GoFood
T00216,2024-01-06,,P16,1,9000,9000,GrabFood
T00217,2024-01-06,,P13,2,50000,100000,Takeaway
T00218,2024-01-06,,P17,2,12000,24000,Takeaway
T00219,2024-01-06,C005,P15,3,8000,24000,GoFood
T00220,2024-01-06,,P17,1,12000,12000,Dine-In
T00221,2024-01-06,C005,P11,3,12000,36000,GoFood
T00222,2024-01-06,C014,P15,3,8000,24000,GrabFood
T00223,2024-01-06,C012,P10,6,15000,90000,Dine-In
T00224,2024-01-06,C004,P13,1,50000,50000,Takeaway
T00225,2024-01-06,C008,P15,1,8000,8000,GrabFood
T00226,2024-01-06,C009,P10,2,15000,30000,Dine-In
T00227,2024-01-06,C011,P14,5,18000,90000,Dine-In
T00228,2024-01-06,C005,P12,2,45000,90000,GrabFood
T00229,2024-01-06,C013,P10,1,15000,15000,Takeaway
T00230,2024-01-06,C011,P15,7,8000,56000,GoFood
T00231,2024-01-06,C020,P11,4,12000,48000,Dine-In
T00232,2024-01-06,C016,P11,1,12000,12000,GoFood
T00233,2024-01-06,,P16,1,9000,9000,Dine-In
T00234,2024-01-06,C019,P16,1,9000,9000,GoFood
T00235,2024-01-06,C020,P14,1,18000,18000,Dine-In
T00236,2024-01-06,C005,P13,1,50000,50000,GrabFood
T00237,2024-01-06,C014,P14,1,18000,18000,Dine-In
T00238,2024-01-06,C018,P16,2,9000,18000,GrabFood
T00239,2024-01-07,,P11,2,12000,24000,Takeaway
T00240,2024-01-07,,P17,5,12000,60000,GoFood
T00241,2024-01-07,C004,P16,3,9000,27000,Takeaway
T00242,2024-01-07,,P15,1,8000,8000,GoFood
T00243,2024-01-07,,P15,1,8000,8000,Dine-In
T00244,2024-01-07,C010,P16,2,9000,18000,GrabFood
T00245,2024-01-07,C017,P13,1,50000,50000,GoFood
T00246,2024-01-07,C005,P13,5,50000,250000,Dine-In
T00247,2024-01-07,C005,P12,1,45000,45000,GrabFood
T00248,2024-01-07,,P11,1,12000,12000,GoFood
T00249,2024-01-07,,P17,3,12000,36000,GoFood
T00250,2024-01-07,C005,P15,4,8000,32000,Takeaway
T00251,2024-01-07,C009,P17,2,12000,24000,GoFood
T00252,2024-01-07,C015,P15,2,8000,16000,Dine-In
T00253,2024-01-07,C003,P15,4,8000,32000,GoFood
T00254,2024-01-07,C002,P16,2,9000,18000,Takeaway
T00255,2024-01-07,C005,P13,1,50000,50000,ShopeeFood
T00256,2024-01-07,,P17,1,12000,12000,Takeaway
T00257,2024-01-07,C008,P11,2,12000,24000,GrabFood
T00258,2024-01-07,C012,P17,2,12000,24000,Takeaway
T00259,2024-01-07,,P14,2,18000,36000,GoFood
T00260,2024-01-07,C003,P10,3,15000,45000,Takeaway
T00261,2024-01-07,,P16,1,9000,9000,GoFood
T00262,2024-01-07,C005,P12,1,45000,45000,ShopeeFood
T00263,2024-01-07,C013,P14,6,18000,108000,Dine-In
T00264,2024-01-07,C011,P11,8,12000,96000,GoFood
T00265,2024-01-07,C012,P11,2,12000,24000,Dine-In
T00266,2024-01-07,C016,P14,1,18000,18000,Dine-In
T00267,2024-01-07,C004,P12,1,45000,45000,GoFood
T00268,2024-01-07,,P10,3,15000,45000,GoFood
T00269,2024-01-07,C020,P16,1,9000,9000,GrabFood
T00270,2024-01-07,C012,P12,3,45000,135000,GoFood
T00271,2024-01-07,C015,P13,6,50000,300000,Dine-In
T00272,2024-01-07,,P13,1,50000,50000,GoFood
T00273,2024-01-07,,P13,2,50000,100000,ShopeeFood
T00274,2024-01-07,,P17,3,12000,36000,GoFood
T00275,2024-01-07,,P16,6,9000,54000,GrabFood
T00276,2024-01-07,C016,P12,4,45000,180000,GrabFood
T00277,2024-01-07,C004,P11,3,12000,36000,Takeaway
T00278,2024-01-07,,P12,1,45000,45000,Dine-In
T00279,2024-01-07,,P16,1,9000,9000,GrabFood
T00280,2024-01-07,C013,P15,5,8000,40000,GoFood
T00281,2024-01-07,C008,P13,2,50000,100000,Dine-In
T00282,2024-01-07,C005,P11,4,12000,48000,Dine-In
T00283,2024-01-07,C005,P14,5,18000,90000,GrabFood
T00284,2024-01-07,C003,P17,2,12000,24000,Dine-In
T00285,2024-01-07,C020,P13,4,50000,200000,GoFood
T00286,2024-01-07,C004,P11,3,12000,36000,Dine-In
T00287,2024-01-07,C003,P16,2,9000,18000,Dine-In
T00288,2024-01-07,C017,P17,2,12000,24000,GoFood
T00289,2024-01-07,C012,P12,1,45000,45000,Dine-In
T00290,2024-01-07,C017,P16,1,9000,9000,ShopeeFood
T00291,2024-01-07,C017,P11,5,12000,60000,GoFood
T00292,2024-01-07,C013,P16,4,9000,36000,ShopeeFood
T00293,2024-01-07,C003,P14,3,18000,54000,Takeaway
T00294,2024-01-07,,P11,3,12000,36000,Takeaway
T00295,2024-01-07,C006,P10,2,15000,30000,GrabFood
T00296,2024-01-07,C006,P17,6,12000,72000,GrabFood
T00297,2024-01-07,,P11,3,12000,36000,Dine-In
T00298,2024-01-07,C002,P13,1,50000,50000,Takeaway
T00299,2024-01-07,,P14,2,18000,36000,GoFood
T00300,2024-01-07,C010,P14,1,18000,18000,Takeaway
T00301,2024-01-07,C004,P10,4,15000,60000,GrabFood
T00302,2024-01-07,,P16,4,9000,36000,GrabFood
T00303,2024-01-07,C016,P16,1,9000,9000,Takeaway
T00304,2024-01-07,,P14,4,18000,72000,Dine-In
T00305,2024-01-07,C003,P12,2,45000,90000,Takeaway
T00306,2024-01-07,C014,P14,1,18000,18000,Dine-In
T00307,2024-01-07,C012,P17,2,12000,24000,GoFood
T00308,2024-01-08,,P14,2,18000,36000,Dine-In
T00309,2024-01-08,,P16,2,9000,18000,GoFood
T00310,2024-01-08,C015,P10,1,15000,15000,Dine-In
T00311,2024-01-08,C012,P11,1,12000,12000,Takeaway
T00312,2024-01-08,C012,P10,2,15000,30000,Takeaway
T00313,2024-01-08,C013,P11,2,12000,24000,Takeaway
T00314,2024-01-08,C006,P14,1,18000,18000,GoFood
T00315,2024-01-08,C009,P16,5,9000,45000,GrabFood
T00316,2024-01-08,C016,P13,6,50000,300000,Dine-In
T00317,2024-01-08,C015,P12,4,45000,180000,ShopeeFood
T00318,2024-01-08,,P15,3,8000,24000,GoFood
T00319,2024-01-08,,P14,4,18000,72000,GrabFood
T00320,2024-01-08,C004,P12,3,45000,135000,ShopeeFood
T00321,2024-01-08,C012,P12,1,45000,45000,GoFood
T00322,2024-01-08,,P15,2,8000,16000,Dine-In
T00323,2024-01-08,C016,P11,1,12000,12000,GoFood
T00324,2024-01-08,C011,P16,6,9000,54000,Takeaway
T00325,2024-01-08,,P15,1,8000,8000,GoFood
T00326,2024-01-08,C017,P12,3,45000,135000,ShopeeFood
T00327,2024-01-08,C010,P10,4,15000,60000,Dine-In
T00328,2024-01-08,C017,P15,5,8000,40000,GrabFood
T00329,2024-01-08,C018,P11,1,12000,12000,Takeaway
T00330,2024-01-08,C006,P14,2,18000,36000,GoFood
T00331,2024-01-08,C020,P12,1,45000,45000,Takeaway
T00332,2024-01-08,C002,P10,4,15000,60000,ShopeeFood
T00333,2024-01-08,,P14,3,18000,54000,Takeaway
T00334,2024-01-08,C010,P10,2,15000,30000,GoFood
T00335,2024-01-08,,P14,2,18000,36000,GoFood
T00336,2024-01-08,C006,P14,2,18000,36000,Takeaway
T00337,2024-01-08,C005,P17,2,12000,24000,Takeaway
T00338,2024-01-08,,P15,3,8000,24000,ShopeeFood
T00339,2024-01-08,C004,P12,3,45000,135000,Takeaway
T00340,2024-01-08,C005,P17,1,12000,12000,Dine-In
T00341,2024-01-08,,P14,5,18000,90000,Takeaway
T00342,2024-01-08,,P12,4,45000,180000,GrabFood
T00343,2024-01-08,C017,P13,3,50000,150000,GoFood
T00344,2024-01-09,,P17,1,12000,12000,GoFood
T00345,2024-01-09,C002,P13,1,50000,50000,Takeaway
T00346,2024-01-09,C004,P17,1,12000,12000,Takeaway
T00347,2024-01-09,,P14,3,18000,54000,Takeaway
T00348,2024-01-09,C012,P16,1,9000,9000,GoFood
T00349,2024-01-09,C018,P11,2,12000,24000,Takeaway
T00350,2024-01-09,C012,P11,1,12000,12000,GrabFood
T00351,2024-01-09,C005,P15,2,8000,16000,Dine-In
T00352,2024-01-09,C005,P16,2,9000,18000,GrabFood
T00353,2024-01-09,C017,P17,2,12000,24000,Dine-In
T00354,2024-01-09,,P15,1,8000,8000,GrabFood
T00355,2024-01-09,C017,P14,2,18000,36000,GoFood
T00356,2024-01-09,C011,P14,7,18000,126000,ShopeeFood
T00357,2024-01-09,,P14,3,18000,54000,GoFood
T00358,2024-01-09,C019,P10,2,15000,30000,GoFood
T00359,2024-01-09,C020,P10,2,15000,30000,GrabFood
T00360,2024-01-09,C002,P16,1,9000,9000,GoFood
T00361,2024-01-09,C014,P11,1,12000,12000,Dine-In
T00362,2024-01-09,,P13,2,50000,100000,ShopeeFood
T00363,2024-01-09,C018,P10,3,15000,45000,Takeaway
T00364,2024-01-09,C006,P17,2,12000,24000,GoFood
T00365,2024-01-09,C009,P15,2,8000,16000,GoFood
T00366,2024-01-09,C010,P13,5,50000,250000,Dine-In
T00367,2024-01-09,,P14,3,18000,54000,GoFood
T00368,2024-01-09,C009,P17,1,12000,12000,Takeaway
T00369,2024-01-09,C012,P16,4,9000,36000,ShopeeFood
T00370,2024-01-09,C003,P12,1,45000,45000,Takeaway
T00371,2024-01-09,,P17,3,12000,36000,Dine-In
T00372,2024-01-09,C005,P14,5,18000,90000,Dine-In
T00373,2024-01-09,C017,P13,1,50000,50000,Dine-In
T00374,2024-01-09,C016,P13,1,50000,50000,Dine-In
T00375,2024-01-09,C006,P12,1,45000,45000,Takeaway
T00376,2024-01-09,C010,P17,2,12000,24000,Takeaway
T00377,2024-01-10,C019,P10,5,15000,75000,Dine-In
T00378,2024-01-10,C006,P10,5,15000,75000,ShopeeFood
T00379,2024-01-10,C016,P10,6,15000,90000,Dine-In
T00380,2024-01-10,C019,P14,4,18000,72000,GoFood
T00381,2024-01-10,,P15,1,8000,8000,GoFood
T00382,2024-01-10,C017,P17,4,12000,48000,GoFood
T00383,2024-01-10,C015,P13,4,50000,200000,GoFood
T00384,2024-01-10,C010,P12,1,45000,45000,GoFood
T00385,2024-01-10,,P13,1,50000,50000,GrabFood
T00386,2024-01-10,C004,P16,2,9000,18000,Dine-In
T00387,2024-01-10,,P12,2,45000,90000,Dine-In
T00388,2024-01-10,,P16,1,9000,9000,ShopeeFood
T00389,2024-01-10,C009,P14,2,18000,36000,GoFood
T00390,2024-01-10,C010,P13,1,50000,50000,Dine-In
T00391,2024-01-10,C010,P14,3,18000,54000,Takeaway
T00392,2024-01-10,C005,P13,1,50000,50000,GoFood
T00393,2024-01-10,C016,P15,2,8000,16000,GrabFood
T00394,2024-01-10,C020,P13,3,50000,150000,GrabFood
T00395,2024-01-10,C012,P11,2,12000,24000,Dine-In
T00396,2024-01-10,C017,P11,1,12000,12000,Dine-In
T00397,2024-01-10,,P12,1,45000,45000,Takeaway
T00398,2024-01-10,C017,P13,3,50000,150000,Takeaway
T00399,2024-01-10,C015,P10,2,15000,30000,GoFood
T00400,2024-01-10,C001,P17,3,12000,36000,Takeaway
T00401,2024-01-10,C002,P10,3,15000,45000,Takeaway
T00402,2024-01-10,C003,P11,2,12000,24000,ShopeeFood
T00403,2024-01-10,C005,P17,1,12000,12000,GrabFood
T00404,2024-01-10,,P16,2,9000,18000,Takeaway
T00405,2024-01-10,C018,P16,2,9000,18000,Dine-In
T00406,2024-01-10,,P15,1,8000,8000,Takeaway
T00407,2024-01-10,C001,P12,3,45000,135000,GrabFood
T00408,2024-01-10,,P14,2,18000,36000,Takeaway
T00409,2024-01-10,C012,P16,4,9000,36000,Dine-In
T00410,2024-01-10,,P13,5,50000,250000,Dine-In
T00411,2024-01-10,,P16,2,9000,18000,GrabFood
T00412,2024-01-10,C002,P13,1,50000,50000,Takeaway
T00413,2024-01-10,C015,P10,1,15000,15000,Dine-In
T00414,2024-01-10,,P13,3,50000,150000,Dine-In
T00415,2024-01-10,,P14,1,18000,18000,GoFood
T00416,2024-01-10,,P15,1,8000,8000,ShopeeFood
T00417,2024-01-10,C018,P13,2,50000,100000,ShopeeFood
T00418,2024-01-10,C016,P12,2,45000,90000,Dine-In
T00419,2024-01-11,C014,P16,3,9000,27000,Takeaway
T00420,2024-01-11,,P14,2,18000,36000,GoFood
T00421,2024-01-11,,P13,1,50000,50000,GrabFood
T00422,2024-01-11,,P10,2,15000,30000,GoFood
T00423,2024-01-11,C011,P12,6,45000,270000,ShopeeFood
T00424,2024-01-11,,P15,1,8000,8000,Dine-In
T00425,2024-01-11,C002,P14,2,18000,36000,GrabFood
T00426,2024-01-11,C018,P13,4,50000,200000,Dine-In
T00427,2024-01-11,C001,P13,4,50000,200000,Dine-In
T00428,2024-01-11,C016,P13,6,50000,300000,ShopeeFood
T00429,2024-01-11,C011,P13,7,50000,350000,Takeaway
T00430,2024-01-11,C016,P15,1,8000,8000,GoFood
T00431,2024-01-11,C007,P17,3,12000,36000,Takeaway
T00432,2024-01-11,,P16,1,9000,9000,GrabFood
T00433,2024-01-11,,P10,1,15000,15000,GoFood
T00434,2024-01-11,C008,P16,1,9000,9000,Takeaway
T00435,2024-01-11,C011,P13,5,50000,250000,GrabFood
T00436,2024-01-11,,P17,2,12000,24000,Takeaway
T00437,2024-01-11,C018,P12,3,45000,135000,ShopeeFood
T00438,2024-01-11,,P10,2,15000,30000,Dine-In
T00439,2024-01-11,C008,P10,3,15000,45000,Dine-In
T00440,2024-01-11,C012,P12,1,45000,45000,Dine-In
T00441,2024-01-11,C018,P17,3,12000,36000,GoFood
T00442,2024-01-11,,P10,1,15000,15000,GoFood
T00443,2024-01-11,,P14,1,18000,18000,GoFood
T00444,2024-01-11,C005,P12,1,45000,45000,Dine-In
T00445,2024-01-11,C013,P14,4,18000,72000,Dine-In
T00446,2024-01-11,C008,P16,2,9000,18000,Takeaway
T00447,2024-01-11,,P11,3,12000,36000,GrabFood
T00448,2024-01-11,C016,P11,2,12000,24000,Dine-In
T00449,2024-01-11,C014,P10,3,15000,45000,GoFood
T00450,2024-01-11,,P15,2,8000,16000,Dine-In
T00451,2024-01-11,,P10,1,15000,15000,GoFood
T00452,2024-01-11,,P17,1,12000,12000,GoFood
T00453,2024-01-12,,P10,1,15000,15000,Dine-In
T00454,2024-01-12,,P13,2,50000,100000,GrabFood
T00455,2024-01-12,C019,P16,5,9000,45000,Dine-In
T00456,2024-01-12,C013,P16,3,9000,27000,GrabFood
T00457,2024-01-12,C003,P12,3,45000,135000,GoFood
T00458,2024-01-12,C003,P15,1,8000,8000,Takeaway
T00459,2024-01-12,C009,P16,6,9000,54000,GrabFood
