transaction_id,date,customer_id,product_id,qty,unit_price,revenue,channel
T28990,29-Jun-2025,C009,P12,2,45000,90000,ShopeeFood
T34135,01/10/2025,C015,P10,4,15000,,TAKEAWAY
T09949,11-Jul-2024,,P14,2,18000,36000,Dine In 
T13546,2024-09-14,,P12,1,45000,45000,Dine-In
T02908,2024-03-04,C003,P16,2,9000,18000,Take Away
T18762,19/12/2024,C009,P16,2,9000,18000,dine-in
T01202,2024-01-30,,P15,2,8000,16000,GrabFood
T20039,10-01-2025,c020,P11,1,12000,12000,dine-in
T26209,14-May-2025,C004,P15,5,8000,40000,GrabFood
T21808,16/02/2025,,P17,6,12000,72000,TAKEAWAY
T05900,03-05-2024,C009,P14,1 pcs,18000,18000,GRABFOOD
T06574,16-May-2024,C001,P10,3,15000,45000,gofood
T26386,18-05-2025,-,P14,4 pcs,18000,72000,GOFOOD
T17978,08-12-2024,C016,P10,1,15000,15000,DINE IN
T16075,2024-11-03,C015,P12,6,45000,270000,GrabFood
T37251,01-12-2025,C008,P16,4,9000,36000,ShopeeFood
T38430,2025-12-18,,P14,1,18000,18000,GoFood
T05537,26-04-2024,C015,P14,2,18000,36000,dine-in
T25013,21-04-2025,C018,P13,2,50000,100000,gofood
T33952,28-09-2025,C017,P12,4,45000,180000,Dine-In
T33742,24-09-2025,N/A,P17,4,12000,48000,gofood
T28611,24/06/2025,C014,P10,1,15000,15000,SHOPEEFOOD
T13389,10-09-2024,C008,P13,2,50000,100000,SHOPEEFOOD
T05555,27/04/2024,C015,P11,1,12000,12000,Shopee Food
T28402,21-06-2025,C011,P10,3,15000,45000,Dine In 
T18205,11/12/2024,C014,P16,2 pcs,9000,18000,dine-in
T24912,19/04/2025,C015,P14,2,18000,,DINE IN
T04012,2024-03-26,,P14,1,18000,18000,GOFOOD
T27237,02-Jun-2025,-,P11,2,12000,24000,gofood
T12000,13-08-2024,C008,P10,2,15000,30000,Go-Food
T31220,2025-08-04,C013,P17,2,12000,24000,Dine In 
T08498,17-06-2024,C017,P10,4,15000,60000,dine-in
T14977,12/10/2024,C011,P13,5,Rp 50.000,250000,Takeaway
T22308,28-Feb-2025,,P12,1,Rp 45.000,45000,dine-in
T06266,10-05-2024,-,P10,1,15000,15000,GOFOOD
T00880,21-Jan-2024,,P13,1,50000,50000,GRABFOOD
T37877,10-12-2025,N/A,P12,1,Rp 45.000,45000,SHOPEEFOOD
T08520,18-Jun-2024,C014,P16,1,9000,9000,SHOPEEFOOD
T22854,10/03/2025,C004,P17,3 pcs,12000,36000,GoFood
T25765,06-05-2025,C010,P16,1,9000,9000,Dine-In
T08030,10-06-2024,C001,P12,4,Rp 45.000,180000,Grab Food
T28902,29/06/2025,C010,P11,1,12000,12000,GOFOOD
T08857,23/06/2024,N/A,P13,2,50000,100000,Dine-In
T20055,10-01-2025,C018,P14,4,18000,72000,Dine-In
T21637,13/02/2025,N/A,P16,1,9000,9000,takeaway 
T00529,2024-01-13,C019,P15,4,8000,32000,Dine-In
T32025,2025-08-20,C012,P10,2,15000,30000,gofood
T09729,07-Jul-2024,C002,P14,1,18000,18000,dine-in
T37085,29-11-2025,C014,P17,1,12000,12000,GoFood
T12369,2024-08-21,C012,P15,5,8000,40000,Dine-In
T37506,05/12/2025,N/A,P12,5,Rp 45.000,225000,GOFOOD
T28120,2025-06-17,C001,P13,5,50000,,GrabFood
T26370,2025-05-18,C002,P11,2,12000,24000,Go-Food
T37284,2025-12-02,,P17,2,12000,24000,Shopee Food
T31666,13-08-2025,N/A,P15,2,8000,16000,Take Away
T05705,29/04/2024,C001,P10,3,15000,45000,GoFood
T12893,2024-09-01,C019,P14,3 pcs,18000,54000,GOFOOD
T24329,08-Apr-2025,-,P15,4,8000,32000,SHOPEEFOOD
T21947,2025-02-20,C008,P15,2,8000,16000,Dine In 
T26408,18-05-2025,N/A,P11,5,12000,60000,takeaway 
T00596,15-01-2024,C011,P17,4,12000,48000,ShopeeFood
T16987,22-11-2024,C013,P13,5,50000,250000,Takeaway
T04766,2024-04-11,C008,P12,1,45000,,TAKEAWAY
T11953,12/08/2024,-,P11,1,12000,12000,Grab Food
T27951,14-Jun-2025,,P14,1,18000,18000,GRABFOOD
T27181,2025-06-01,C002,P13,1,50000,50000,Dine In 
T00236,06-Jan-2024,C005,P13,1,Rp 50.000,50000,GrabFood
T00071,02/01/2024,N/A,P13,2,50000,100000,SHOPEEFOOD
T01904,13/02/2024,,P11,2,Rp 12.000,24000,DINE IN
T06881,22/05/2024,C002,P15,1,Rp 8.000,8000,dine-in
T07471,2024-06-02,N/A,P14,2,18000,36000,GrabFood
T30574,25/07/2025,,P14,3,18000,54000,Dine-In
T33238,13-Sep-2025,C019,P17,1,12000,12000,Go-Food
T05760,30-04-2024,C010,P10,1,15000,15000,Grab Food
T31264,05-Aug-2025,C015,P14,1,18000,18000,TAKEAWAY
T33044,09-Sep-2025,,P14,2,18000,36000,Take Away
T35099,2025-10-20,C006,P12,2,45000,90000,GOFOOD
T34277,04/10/2025,C002,P17,2,12000,24000,gofood
T11862,11-Aug-2024,C020,P15,4,8000,32000,dine-in
T28774,28-Jun-2025,,P16,1,9000,9000,Take Away
T25536,02-05-2025,C004,P14,1,18000,18000,GOFOOD
T05573,27-Apr-2024,C018,P11,1,12000,12000,Go-Food
T34518,08/10/2025,C007,P15,4,8000,32000,Go-Food
T27670,09-Jun-2025,,P16,5,9000,45000,SHOPEEFOOD
T27653,09-Jun-2025,C008,P15,4,8000,32000,GOFOOD
T10288,15/07/2024,,P13,1,50000,50000,Dine-In
T16103,03-11-2024,C010,P14,1,18000,18000,Takeaway
T12904,01/09/2024,,P12,1,45000,45000,Take Away
T04391,02-Apr-2024,-,P17,5,12000,60000,Grab Food
T26736,24-May-2025,C005,P17,1,12000,,Dine In 
T36001,08-Nov-2025,C009,P16,2,Rp 9.000,18000,GRABFOOD
T17448,30-11-2024,C006,P10,1,15000,15000,GoFood
T23883,31-Mar-2025,,P11,6,12000,72000,GOFOOD
T01065,2024-01-27,C003,P13,3,50000,150000,takeaway 
T07213,28/05/2024,C002,P16,1,9000,9000,GRABFOOD
T15657,2024-10-26,C005,P16,1,9000,9000,gofood
T09937,11/07/2024,C008,P15,1,8000,8000,Takeaway
T05507,26-Apr-2024,C005,P17,1,12000,12000,Dine-In
T05790,01-05-2024,C002,P14,2,18000,36000,GoFood
T04491,05-04-2024,N/A,P14,4,18000,72000,DINE IN
T23220,2025-03-18,C003,P16,6,9000,54000,ShopeeFood
T00664,2024-01-16,C006,P15,4,8000,32000,dine-in
T17172,24/11/2024,C012,P13,1,50000,50000,takeaway 
T18981,22/12/2024,C005,P17,2,Rp 12.000,,SHOPEEFOOD
T25652,04-May-2025,C006,P16,3,9000,27000,GOFOOD
T00125,04-01-2024,C016,P14,3,18000,54000,dine-in
T07288,2024-05-30,C016,P17,2,12000,24000,gofood
T01548,05-Feb-2024,C004,P13,6,50000,300000,Grab Food
T02647,28/02/2024,C006,P17,1,12000,12000,Shopee Food
T21992,2025-02-21,,P14,2,18000,36000,DINE IN
T22332,2025-03-01,C007,P13,1,50000,50000,Go-Food
T08050,10/06/2024,C020,P16,2,Rp 9.000,18000,ShopeeFood
T38193,14-Dec-2025,C013,P16,1,9000,9000,TAKEAWAY
T25924,10/05/2025,C008,P11,4,12000,48000,gofood
T08150,12-Jun-2024,C004,P15,2,8000,16000,GOFOOD
T14992,12-10-2024,,P14,1,18000,18000,dine-in
T13827,19-09-2024,C018,P11,1,12000,12000,Grab Food
T37493,05/12/2025,,P12,2,45000,90000,TAKEAWAY
T25622,03-05-2025,N/A,P10,2,15000,30000,GrabFood
T35543,29-Oct-2025,C016,P16,1,9000,9000,takeaway 
T15828,29-10-2024,C002,P11,5,12000,60000,GOFOOD
T00928,23-Jan-2024,C020,P17,2,12000,24000,Go-Food
T36904,24-11-2025,C020,P14,1,18000,18000,dine-in
T22965,13-03-2025,C011,P10,7,15000,105000,takeaway 
T20674,25-01-2025,N/A,P17,1,Rp 12.000,12000,GrabFood
T37734,07/12/2025,C007,P16,1 pcs,Rp 9.000,9000,takeaway 
T30972,30/07/2025,-,P12,3,45000,135000,Dine In 
T05393,23-Apr-2024,C012,P12,3,45000,135000,GrabFood
T22875,11-Mar-2025,,P12,3,Rp 45.000,135000,dine-in
T35100,2025-10-20,C018,P11,2,12000,24000,GOFOOD
T37529,2025-12-06,,P16,2,9000,18000,dine-in
T32634,31-Aug-2025,C020,P13,2,50000,100000,dine-in
T38777,22/12/2025,C019,P10,3,15000,45000,dine-in
T27807,12/06/2025,-,P10,3,15000,45000,Grab Food
T04206,30/03/2024,,P14,2,18000,36000,Dine In 
T02230,20/02/2024,C016,P13,4 pcs,50000,200000,GRABFOOD
T31156,03-Aug-2025,C004,P14,3,18000,54000,GoFood
T09493,04/07/2024,N/A,P17,1,Rp 12.000,12000,Grab Food
T33609,2025-09-21,C001,P14,1,18000,18000,GOFOOD
T18069,09-12-2024,c003,P12,1,45000,45000,Dine In 
T32129,22/08/2025,C010,P13,3,50000,150000,Dine-In
T36306,13/11/2025,C006,P14,3,18000,54000,gofood
T16712,16-Nov-2024,-,P10,3,15000,45000,GOFOOD
T15211,17/10/2024,,P11,1,12000,12000,takeaway 
T26093,2025-05-12,C012,P11,1,12000,12000,dine-in
T00892,21/01/2024,C005,P16,1,9000,9000,SHOPEEFOOD
T00005,01/01/2024,N/A,P12,2,45000,,takeaway 
T05122,18/04/2024,C010,P17,1,Rp 12.000,12000,gofood
T32524,30-Aug-2025,-,P13,5 pcs,50000,250000,GrabFood
T36307,13-Nov-2025,C001,P10,1,15000,15000,dine-in
T00233,06-01-2024,N/A,P16,1 pcs,9000,9000,dine-in
T24357,09/04/2025,N/A,P16,1,9000,,Take Away
T32919,2025-09-07,C001,P13,2,50000,100000,takeaway 
T04776,2024-04-11,C012,P16,4,9000,36000,Go-Food
T10526,19/07/2024,,P12,3,45000,135000,GRABFOOD
T24874,19-04-2025,-,P17,3,Rp 12.000,36000,Dine In 
T11410,02/08/2024,,P17,2,12000,24000,Dine In 
T16833,18-Nov-2024,C017,P15,2,Rp 8.000,,DINE IN
T00574,14-01-2024,C020,P14,2,18000,36000,Dine-In
T33442,17-09-2025,C014,P14,1,18000,18000,Shopee Food
T10011,12/07/2024,C003,P13,4,50000,200000,GoFood
T01301,01/02/2024,C013,P10,1,15000,,takeaway 
T14161,27-09-2024,C009,P15,4,8000,32000,Dine In 
T37817,2025-12-09,C009,P11,1,12000,12000,GrabFood
T22646,07-03-2025,C001,P11,1,12000,12000,Dine In 
T21254,2025-02-06,C009,P12,3,45000,135000,TAKEAWAY
T37417,04-12-2025,C008,P11,1,12000,12000,ShopeeFood
T09503,04-07-2024,C015,P10,1,15000,15000,takeaway 
T26242,2025-05-16,,P13,3,50000,150000,Dine-In
T27871,13/06/2025,C002,P14,1,18000,18000,GOFOOD
T11942,2024-08-12,C020,P12,2,45000,90000,Grab Food
T13619,15-Sep-2024,,P16,4,9000,36000,GOFOOD
T14008,23/09/2024,C014,P12,2,45000,90000,Dine In 
T37131,2025-11-29,,P12,1,45000,45000,Grab Food
T12219,2024-08-18,C011,P14,8,18000,144000,DINE IN
T11802,10/08/2024,C015,P14,1,18000,18000,Grab Food
T34061,2025-09-29,C008,P16,1,9000,9000,DINE IN
T00556,14-01-2024,C017,P12,1,Rp 45.000,45000,Shopee Food
T31981,19-08-2025,C003,P15,3,Rp 8.000,24000,Dine In 
T38873,24/12/2025,N/A,P11,2,12000,24000,GoFood
T23784,29-03-2025,C010,P11,5,12000,60000,GRABFOOD
T31577,11/08/2025,N/A,P11,1,12000,12000,Dine-In
T31525,2025-08-10,C002,P17,2,12000,,Dine-In
T08424,2024-06-16,N/A,P17,5,Rp 12.000,,GOFOOD
T15725,27-Oct-2024,C006,P10,1 pcs,15000,15000,GRABFOOD
T32822,2025-09-05,,P13,1,50000,50000,Go-Food
T36673,2025-11-20,C010,P17,1 pcs,12000,12000,takeaway 
T34048,29/09/2025,C011,P11,7,12000,84000,Go-Food
T32868,06-Sep-2025,,P14,1,18000,18000,takeaway 
T13277,08-09-2024,-,P13,3,50000,150000,Grab Food
T15561,24-10-2024,C007,P13,1,50000,50000,Go-Food
T30065,17-Jul-2025,-,P12,1,45000,45000,DINE IN
T19768,03/01/2025,C018,P17,6,12000,72000,DINE IN
T00729,2024-01-19,,P12,1,45000,45000,Go-Food
T33394,16-09-2025,C015,P11,1,12000,12000,DINE IN
T30479,23-07-2025,C009,P17,1,12000,12000,SHOPEEFOOD
T01261,31-Jan-2024,C017,P12,1,45000,45000,Shopee Food
T35887,05-Nov-2025,N/A,P15,1,8000,8000,DINE IN
T37526,06/12/2025,C018,P17,3,12000,36000,Shopee Food
T05964,2024-05-04,C011,P15,7,8000,56000,Takeaway
T04523,06-Apr-2024,C006,P15,1,8000,8000,GrabFood
T38540,20/12/2025,N/A,P15,3,8000,24000,GOFOOD
T11812,10-Aug-2024,C006,P13,1,50000,50000,dine-in
T20372,18-Jan-2025,C007,P12,1,45000,45000,gofood
T37962,2025-12-11,C008,P15,1,8000,8000,dine-in
T09641,06-07-2024,,P14,2,18000,36000,dine-in
T04882,13-Apr-2024,C011,P13,3,50000,150000,Go-Food
T13679,2024-09-15,N/A,P16,1,Rp 9.000,9000,Take Away
T36860,23/11/2025,C011,P10,5,15000,75000,Takeaway
T08838,2024-06-23,C016,P12,3,45000,135000,Dine In 
T26870,27/05/2025,C012,P11,3,12000,36000,dine-in
T37634,07/12/2025,C017,P14,3,Rp 18.000,54000,DINE IN
T18569,15-12-2024,,P10,6,15000,90000,GoFood
T03660,2024-03-19,N/A,P16,3,9000,,Take Away
T26013,11/05/2025,c012,P17,1,12000,12000,ShopeeFood
T34706,12-10-2025,N/A,P14,2,Rp 18.000,36000,GoFood
T33578,20-09-2025,,P11,1,12000,12000,Dine-In
T29516,09/07/2025,C010,P13,3,Rp 50.000,150000,GoFood
T16173,05/11/2024,C007,P13,2,50000,100000,takeaway 
T04457,04-Apr-2024,C014,P11,1,Rp 12.000,12000,Shopee Food
T14004,23-Sep-2024,C011,P13,8,50000,400000,gofood
T19871,05-Jan-2025,C011,P14,5,Rp 18.000,90000,GOFOOD
T00368,2024-01-09,C009,P17,1,12000,12000,Takeaway
T14556,2024-10-04,C012,P12,3,45000,135000,GOFOOD
T38828,2025-12-23,C001,P12,3,45000,135000,dine-in
T26175,14-May-2025,C015,P14,5,18000,90000,GRABFOOD
T26689,2025-05-24,-,P14,1,18000,18000,GRABFOOD
T23821,30/03/2025,N/A,P16,1,9000,9000,GrabFood
T13009,03-09-2024,C018,P14,3 pcs,18000,54000,Shopee Food
T32597,31-08-2025,C015,P10,3,15000,45000,Grab Food
T02525,2024-02-25,C008,P10,1,15000,15000,Dine In 
T08001,09-Jun-2024,C012,P10,2,Rp 15.000,30000,DINE IN
T11269,2024-07-30,C001,P15,4,8000,32000,DINE IN
T19007,22-Dec-2024,C004,P15,5,8000,40000,Take Away
T01033,26-Jan-2024,C010,P10,1,15000,15000,GrabFood
T18774,2024-12-19,,P14,1,18000,18000,GrabFood
T27285,03/06/2025,,P16,5 pcs,9000,45000,GoFood
T35271,25-10-2025,,P11,1,12000,12000,TAKEAWAY
T13157,2024-09-07,C004,P11,3,12000,36000,Grab Food
T02644,28/02/2024,C020,P13,4,50000,200000,Dine In 
T11981,13-Aug-2024,C017,P15,3,Rp 8.000,24000,Take Away
T18387,14/12/2024,C014,P10,1,15000,,takeaway 
T24511,12-Apr-2025,,P14,3,18000,54000,GRABFOOD
T17034,2024-11-23,C003,P15,3,Rp 8.000,24000,gofood
T29155,03-07-2025,-,P13,5,50000,250000,Take Away
T16247,07-Nov-2024,C011,P14,4,18000,72000,Dine-In
T36129,09/11/2025,C003,P15,5,8000,40000,SHOPEEFOOD
T27816,12-Jun-2025,c016,P11,3,12000,36000,gofood
T35645,01-11-2025,-,P10,2 pcs,15000,30000,Takeaway
T39186,28-Dec-2025,C003,P16,2,9000,18000,GoFood
T25745,05/05/2025,C011,P13,6,50000,300000,GoFood
T24990,20-04-2025,,P11,1,12000,12000,Dine In 
T23925,01/04/2025,C009,P11,3 pcs,12000,36000,GrabFood
T02182,18-Feb-2024,C019,P15,5,8000,40000,dine-in
T22347,2025-03-01,,P16,1,Rp 9.000,9000,DINE IN
T28675,25-Jun-2025,C013,P11,5 pcs,12000,60000,GoFood
T37818,09-12-2025,C002,P13,4,Rp 50.000,200000,GoFood
T10559,20/07/2024,-,P14,1,18000,18000,Grab Food
T22589,2025-03-05,C011,P11,5,12000,,dine-in
T02452,2024-02-25,C013,P12,1,45000,,GRABFOOD
T01929,14/02/2024,-,P17,1 pcs,12000,12000,Take Away
T34949,18/10/2025,C013,P16,1,9000,9000,DINE IN
T32114,2025-08-22,C016,P16,2,Rp 9.000,18000,Dine-In
T27353,05-06-2025,C019,P10,1,15000,,ShopeeFood
T38931,25-Dec-2025,,P10,4,15000,60000,Dine In 
T06354,2024-05-11,,P16,2,9000,18000,Take Away
T35819,03-11-2025,,P14,6,18000,108000,GoFood
T06724,2024-05-19,C012,P12,2,45000,,Go-Food
T24153,05/04/2025,C002,P12,3,45000,,Shopee Food
T02496,25-Feb-2024,C016,P11,1,12000,12000,Grab Food
T03293,12/03/2024,C018,P10,3,Rp 15.000,45000,dine-in
T21651,14-02-2025,C013,P17,2,12000,24000,GrabFood
T34886,16-10-2025,,P14,1,18000,18000,GRABFOOD
T21083,02/02/2025,c005,P10,2,15000,30000,Dine In 
T28665,25-06-2025,C020,P17,4,12000,48000,takeaway 
T30961,30-Jul-2025,N/A,P14,5,18000,90000,GrabFood
T35393,26-Oct-2025,,P14,2,18000,36000,Shopee Food
T31923,17-08-2025,C015,P15,4,8000,32000,Grab Food
T34955,18-10-2025,C008,P12,5,45000,225000,Dine-In
T13725,2024-09-16,C018,P12,5,45000,225000,GrabFood
T36752,2025-11-22,C012,P15,2,8000,16000,Shopee Food
T32935,2025-09-07,C011,P15,5,8000,40000,GOFOOD
T01581,06-02-2024,,P10,2,15000,30000,GOFOOD
T10881,2024-07-25,N/A,P11,4,Rp 12.000,48000,DINE IN
