response_id,response_date,customer_id,channel_source,nps_score,category,top_complaint,would_recommend,comment_id
NPS-008857,2025-01-03,CUST-929492,apps,6,Detractor,harga_mahal,no,
NPS-009230,2025-01-03,CUST-653496,in_store,10,Promoter,kasir_lama,yes,
NPS-009468,2025-01-03,CUST-282471,in_store,7,Passive,tidak_ada_komplain,yes,
NPS-010022,2025-01-03,CUST-883424,apps,10,Promoter,kasir_lama,yes,CMT-010022
NPS-010062,2025-01-03,CUST-197766,apps,6,Detractor,cs_lambat,no,
NPS-010064,2025-01-03,CUST-102471,apps,7,Passive,tidak_ada_komplain,yes,
NPS-010279,2025-01-03,CUST-737511,apps,7,Passive,pengiriman_lambat,yes,CMT-010279
NPS-011139,2025-01-03,CUST-534877,apps,9,Promoter,aplikasi_lambat,yes,
NPS-011595,2025-01-03,CUST-481795,in_store,10,Promoter,tidak_ada_komplain,yes,
NPS-011707,2025-01-03,CUST-346539,apps,7,Passive,aplikasi_lambat,yes,
NPS-011833,2025-01-03,CUST-961918,in_store,8,Passive,tidak_ada_komplain,yes,
NPS-011845,2025-01-03,CUST-665751,b2b,8,Passive,tidak_ada_komplain,yes,CMT-011845
NPS-000237,2025-01-04,CUST-308852,b2b,6,Detractor,kasir_lama,no,CMT-000237
NPS-000277,2025-01-04,CUST-873901,in_store,9,Promoter,kasir_lama,yes,CMT-000277
NPS-001109,2025-01-04,CUST-466874,apps,8,Passive,obat_tidak_lengkap,yes,
NPS-001657,2025-01-04,CUST-384841,apps,6,Detractor,harga_mahal,no,
NPS-001684,2025-01-04,CUST-480382,apps,2,Detractor,stok_tidak_akurat,definitely_no,
NPS-002262,2025-01-04,CUST-379196,apps,6,Detractor,cs_lambat,no,
NPS-002791,2025-01-04,CUST-320543,b2b,6,Detractor,obat_tidak_lengkap,no,CMT-002791
NPS-003068,2025-01-04,CUST-846336,in_store,5,Detractor,harga_mahal,no,CMT-003068
NPS-003739,2025-01-04,CUST-678188,apps,3,Detractor,stok_tidak_akurat,definitely_no,
NPS-003928,2025-01-04,CUST-791718,in_store,8,Passive,tidak_ada_komplain,yes,CMT-003928
NPS-004340,2025-01-04,CUST-797067,apps,10,Promoter,tidak_ada_komplain,yes,
NPS-004463,2025-01-04,CUST-173770,in_store,10,Promoter,obat_tidak_lengkap,yes,CMT-004463
NPS-005161,2025-01-04,CUST-901465,in_store,10,Promoter,tidak_ada_komplain,yes,CMT-005161
NPS-005906,2025-01-04,CUST-808601,in_store,8,Passive,tidak_ada_komplain,yes,
NPS-006142,2025-01-04,CUST-552766,in_store,5,Detractor,obat_tidak_lengkap,no,
NPS-006752,2025-01-04,CUST-551416,in_store,7,Passive,tidak_ada_komplain,yes,CMT-006752
NPS-007136,2025-01-04,CUST-829990,in_store,10,Promoter,aplikasi_lambat,yes,CMT-007136
NPS-007274,2025-01-04,CUST-850676,in_store,8,Passive,harga_mahal,yes,CMT-007274
NPS-007350,2025-01-04,CUST-185334,in_store,7,Passive,tidak_ada_komplain,yes,
NPS-007544,2025-01-04,CUST-732517,in_store,7,Passive,tidak_ada_komplain,yes,
NPS-008076,2025-01-04,CUST-587594,apps,10,Promoter,tidak_ada_komplain,yes,
NPS-008338,2025-01-04,CUST-362384,in_store,9,Promoter,stok_tidak_akurat,yes,
NPS-008603,2025-01-04,CUST-293845,apps,7,Passive,tidak_ada_komplain,yes,
NPS-008633,2025-01-04,CUST-619978,in_store,10,Promoter,tidak_ada_komplain,yes,
NPS-008870,2025-01-04,CUST-779116,in_store,8,Passive,cs_lambat,yes,
NPS-008920,2025-01-04,CUST-247180,in_store,10,Promoter,tidak_ada_komplain,yes,
NPS-009117,2025-01-04,CUST-806459,in_store,3,Detractor,kasir_lama,definitely_no,
NPS-009684,2025-01-04,CUST-407970,in_store,9,Promoter,cs_lambat,yes,CMT-009684
NPS-009728,2025-01-04,CUST-637095,in_store,6,Detractor,kasir_lama,no,
NPS-009861,2025-01-04,CUST-260022,apps,8,Passive,tidak_ada_komplain,yes,
NPS-009923,2025-01-04,CUST-400996,in_store,8,Passive,kasir_lama,yes,CMT-009923
NPS-010120,2025-01-04,CUST-807296,in_store,9,Promoter,tidak_ada_komplain,yes,CMT-010120
NPS-010412,2025-01-04,CUST-464625,apps,7,Passive,tidak_ada_komplain,yes,
NPS-010806,2025-01-04,CUST-485625,b2b,8,Passive,cs_lambat,yes,CMT-010806
NPS-011123,2025-01-04,CUST-664430,in_store,3,Detractor,obat_tidak_lengkap,definitely_no,CMT-011123
NPS-000119,2025-01-05,CUST-194574,in_store,4,Detractor,harga_mahal,definitely_no,CMT-000119
NPS-000135,2025-01-05,CUST-690775,apps,7,Passive,stok_tidak_akurat,yes,
NPS-000234,2025-01-05,CUST-330492,in_store,5,Detractor,obat_tidak_lengkap,no,CMT-000234
NPS-000596,2025-01-05,CUST-221136,apps,7,Passive,tidak_ada_komplain,yes,CMT-000596
NPS-000912,2025-01-05,CUST-161579,in_store,6,Detractor,kasir_lama,no,CMT-000912
NPS-000932,2025-01-05,CUST-238175,in_store,7,Passive,tidak_ada_komplain,yes,
NPS-002185,2025-01-05,CUST-288227,in_store,8,Passive,aplikasi_lambat,yes,
NPS-002233,2025-01-05,CUST-884782,in_store,8,Passive,obat_tidak_lengkap,yes,
NPS-002526,2025-01-05,CUST-503831,b2b,8,Passive,harga_mahal,yes,CMT-002526
NPS-002892,2025-01-05,CUST-750665,apps,8,Passive,tidak_ada_komplain,yes,CMT-002892
NPS-003615,2025-01-05,CUST-240952,in_store,8,Passive,tidak_ada_komplain,yes,CMT-003615
NPS-003799,2025-01-05,CUST-924378,in_store,9,Promoter,tidak_ada_komplain,yes,
NPS-003813,2025-01-05,CUST-294202,in_store,7,Passive,tidak_ada_komplain,yes,CMT-003813
NPS-003958,2025-01-05,CUST-468390,in_store,6,Detractor,obat_tidak_lengkap,no,CMT-003958
NPS-004249,2025-01-05,CUST-128974,b2b,4,Detractor,cs_lambat,definitely_no,CMT-004249
NPS-004516,2025-01-05,CUST-480134,in_store,6,Detractor,obat_tidak_lengkap,no,CMT-004516
NPS-004580,2025-01-05,CUST-927428,in_store,8,Passive,tidak_ada_komplain,yes,
NPS-004914,2025-01-05,CUST-456712,apps,8,Passive,tidak_ada_komplain,yes,CMT-004914
NPS-005058,2025-01-05,CUST-937640,in_store,10,Promoter,pengiriman_lambat,yes,
NPS-005816,2025-01-05,CUST-497636,apps,7,Passive,harga_mahal,yes,
NPS-005971,2025-01-05,CUST-207701,in_store,10,Promoter,kasir_lama,yes,CMT-005971
NPS-006221,2025-01-05,CUST-451345,apps,6,Detractor,aplikasi_lambat,no,CMT-006221
NPS-006461,2025-01-05,CUST-817721,apps,4,Detractor,stok_tidak_akurat,definitely_no,
NPS-007453,2025-01-05,CUST-443557,in_store,10,Promoter,tidak_ada_komplain,yes,CMT-007453
NPS-007598,2025-01-05,CUST-297662,in_store,3,Detractor,harga_mahal,definitely_no,CMT-007598
NPS-008291,2025-01-05,CUST-916612,in_store,2,Detractor,cs_lambat,definitely_no,CMT-008291
NPS-009828,2025-01-05,CUST-357308,in_store,8,Passive,tidak_ada_komplain,yes,CMT-009828
NPS-010713,2025-01-05,CUST-680124,in_store,8,Passive,harga_mahal,yes,CMT-010713
NPS-000187,2025-01-06,CUST-996534,apps,8,Passive,tidak_ada_komplain,yes,CMT-000187
NPS-000506,2025-01-06,CUST-546826,apps,6,Detractor,cs_lambat,no,CMT-000506
NPS-000886,2025-01-06,CUST-644538,apps,7,Passive,tidak_ada_komplain,yes,CMT-000886
NPS-000959,2025-01-06,CUST-256077,b2b,9,Promoter,tidak_ada_komplain,yes,
NPS-001000,2025-01-06,CUST-548046,in_store,10,Promoter,harga_mahal,yes,
NPS-001297,2025-01-06,CUST-464420,in_store,7,Passive,tidak_ada_komplain,yes,CMT-001297
NPS-002109,2025-01-06,CUST-469616,in_store,7,Passive,tidak_ada_komplain,yes,
NPS-004906,2025-01-06,CUST-353332,b2b,5,Detractor,kasir_lama,no,CMT-004906
NPS-005682,2025-01-06,CUST-814547,apps,10,Promoter,tidak_ada_komplain,yes,CMT-005682
NPS-005959,2025-01-06,CUST-576802,in_store,10,Promoter,tidak_ada_komplain,yes,
NPS-005995,2025-01-06,CUST-706650,apps,9,Promoter,tidak_ada_komplain,yes,CMT-005995
NPS-006362,2025-01-06,CUST-289208,in_store,8,Passive,tidak_ada_komplain,yes,
NPS-006671,2025-01-06,CUST-153598,apps,9,Promoter,tidak_ada_komplain,yes,
NPS-007063,2025-01-06,CUST-605141,apps,9,Promoter,tidak_ada_komplain,yes,CMT-007063
NPS-007912,2025-01-06,CUST-971926,in_store,5,Detractor,harga_mahal,no,
NPS-008351,2025-01-06,CUST-225073,in_store,9,Promoter,tidak_ada_komplain,yes,CMT-008351
NPS-008526,2025-01-06,CUST-799625,in_store,9,Promoter,tidak_ada_komplain,yes,CMT-008526
NPS-009072,2025-01-06,CUST-676977,in_store,3,Detractor,cs_lambat,definitely_no,
NPS-009149,2025-01-06,CUST-316055,in_store,10,Promoter,tidak_ada_komplain,yes,
NPS-009369,2025-01-06,CUST-578657,in_store,9,Promoter,tidak_ada_komplain,yes,CMT-009369
NPS-009741,2025-01-06,CUST-444450,in_store,9,Promoter,tidak_ada_komplain,yes,CMT-009741
NPS-010995,2025-01-06,CUST-450357,in_store,9,Promoter,tidak_ada_komplain,yes,
NPS-011153,2025-01-06,CUST-606737,in_store,10,Promoter,tidak_ada_komplain,yes,
NPS-011312,2025-01-06,CUST-237687,apps,8,Passive,tidak_ada_komplain,yes,
NPS-011693,2025-01-06,CUST-594700,b2b,9,Promoter,tidak_ada_komplain,yes,CMT-011693
NPS-011734,2025-01-06,CUST-373397,apps,9,Promoter,obat_tidak_lengkap,yes,
NPS-011900,2025-01-06,CUST-179013,in_store,9,Promoter,kasir_lama,yes,
NPS-000053,2025-01-07,CUST-813928,apps,9,Promoter,cs_lambat,yes,
NPS-000951,2025-01-07,CUST-377019,b2b,9,Promoter,tidak_ada_komplain,yes,
NPS-001251,2025-01-07,CUST-640977,in_store,5,Detractor,obat_tidak_lengkap,no,
NPS-001639,2025-01-07,CUST-314291,in_store,5,Detractor,obat_tidak_lengkap,no,
NPS-002518,2025-01-07,CUST-254840,in_store,2,Detractor,harga_mahal,definitely_no,CMT-002518
NPS-002950,2025-01-07,CUST-387751,in_store,10,Promoter,tidak_ada_komplain,yes,
NPS-003249,2025-01-07,CUST-843152,in_store,7,Passive,pengiriman_lambat,yes,CMT-003249
NPS-003738,2025-01-07,CUST-923539,apps,9,Promoter,kasir_lama,yes,CMT-003738
NPS-003896,2025-01-07,CUST-438338,b2b,7,Passive,tidak_ada_komplain,yes,CMT-003896
NPS-004081,2025-01-07,CUST-353093,in_store,9,Promoter,tidak_ada_komplain,yes,CMT-004081
NPS-004274,2025-01-07,CUST-894256,in_store,10,Promoter,stok_tidak_akurat,yes,CMT-004274
NPS-005153,2025-01-07,CUST-866315,b2b,6,Detractor,obat_tidak_lengkap,no,CMT-005153
NPS-005168,2025-01-07,CUST-491820,apps,7,Passive,tidak_ada_komplain,yes,
NPS-005616,2025-01-07,CUST-833942,in_store,9,Promoter,tidak_ada_komplain,yes,CMT-005616
NPS-005813,2025-01-07,CUST-611462,in_store,9,Promoter,pengiriman_lambat,yes,CMT-005813
NPS-006496,2025-01-07,CUST-197190,apps,8,Passive,kasir_lama,yes,CMT-006496
NPS-006822,2025-01-07,CUST-954098,in_store,9,Promoter,pengiriman_lambat,yes,CMT-006822
NPS-006858,2025-01-07,CUST-300881,apps,9,Promoter,tidak_ada_komplain,yes,
NPS-006879,2025-01-07,CUST-926584,apps,7,Passive,tidak_ada_komplain,yes,
NPS-007321,2025-01-07,CUST-165952,in_store,8,Passive,tidak_ada_komplain,yes,
NPS-007578,2025-01-07,CUST-270472,apps,10,Promoter,tidak_ada_komplain,yes,
NPS-007587,2025-01-07,CUST-640241,b2b,7,Passive,obat_tidak_lengkap,yes,
NPS-007607,2025-01-07,CUST-462008,in_store,6,Detractor,kasir_lama,no,CMT-007607
NPS-007817,2025-01-07,CUST-269669,in_store,10,Promoter,tidak_ada_komplain,yes,CMT-007817
NPS-008068,2025-01-07,CUST-774059,in_store,8,Passive,tidak_ada_komplain,yes,CMT-008068
NPS-008186,2025-01-07,CUST-770131,apps,0,Detractor,stok_tidak_akurat,definitely_no,
NPS-008605,2025-01-07,CUST-623519,in_store,10,Promoter,tidak_ada_komplain,yes,
NPS-009567,2025-01-07,CUST-442499,in_store,7,Passive,tidak_ada_komplain,yes,
NPS-010447,2025-01-07,CUST-309868,in_store,10,Promoter,tidak_ada_komplain,yes,CMT-010447
NPS-010496,2025-01-07,CUST-871943,in_store,8,Passive,tidak_ada_komplain,yes,
NPS-011767,2025-01-07,CUST-850477,apps,7,Passive,obat_tidak_lengkap,yes,CMT-011767
NPS-000153,2025-01-08,CUST-848917,apps,9,Promoter,harga_mahal,yes,CMT-000153
NPS-000526,2025-01-08,CUST-197138,apps,5,Detractor,stok_tidak_akurat,no,
NPS-000621,2025-01-08,CUST-774895,in_store,4,Detractor,harga_mahal,definitely_no,CMT-000621
NPS-000737,2025-01-08,CUST-456249,apps,7,Passive,aplikasi_lambat,yes,
NPS-001135,2025-01-08,CUST-761169,in_store,9,Promoter,stok_tidak_akurat,yes,CMT-001135
NPS-001332,2025-01-08,CUST-727620,in_store,7,Passive,pengiriman_lambat,yes,
NPS-001415,2025-01-08,CUST-869839,in_store,9,Promoter,tidak_ada_komplain,yes,
NPS-001744,2025-01-08,CUST-188771,apps,10,Promoter,tidak_ada_komplain,yes,CMT-001744
NPS-001997,2025-01-08,CUST-585450,apps,10,Promoter,tidak_ada_komplain,yes,CMT-001997
NPS-002156,2025-01-08,CUST-937286,apps,6,Detractor,stok_tidak_akurat,no,CMT-002156
NPS-002345,2025-01-08,CUST-589089,in_store,7,Passive,tidak_ada_komplain,yes,
NPS-002478,2025-01-08,CUST-373379,apps,8,Passive,tidak_ada_komplain,yes,
NPS-003926,2025-01-08,CUST-726525,in_store,4,Detractor,obat_tidak_lengkap,definitely_no,CMT-003926
NPS-004019,2025-01-08,CUST-128559,b2b,5,Detractor,harga_mahal,no,CMT-004019
NPS-004736,2025-01-08,CUST-184616,in_store,7,Passive,tidak_ada_komplain,yes,
NPS-004899,2025-01-08,CUST-731116,apps,2,Detractor,aplikasi_lambat,definitely_no,
NPS-005871,2025-01-08,CUST-900427,in_store,9,Promoter,cs_lambat,yes,
NPS-005882,2025-01-08,CUST-626637,in_store,7,Passive,obat_tidak_lengkap,yes,
NPS-006474,2025-01-08,CUST-114882,in_store,8,Passive,tidak_ada_komplain,yes,CMT-006474
NPS-006574,2025-01-08,CUST-147810,apps,8,Passive,tidak_ada_komplain,yes,
NPS-006740,2025-01-08,CUST-470754,in_store,9,Promoter,tidak_ada_komplain,yes,CMT-006740
NPS-008994,2025-01-08,CUST-717191,b2b,9,Promoter,tidak_ada_komplain,yes,
NPS-009445,2025-01-08,CUST-385315,in_store,5,Detractor,obat_tidak_lengkap,no,CMT-009445
NPS-009495,2025-01-08,CUST-653001,apps,10,Promoter,tidak_ada_komplain,yes,
NPS-010688,2025-01-08,CUST-724676,apps,9,Promoter,stok_tidak_akurat,yes,
NPS-010702,2025-01-08,CUST-263882,in_store,4,Detractor,cs_lambat,definitely_no,CMT-010702
NPS-011906,2025-01-08,CUST-474108,apps,9,Promoter,cs_lambat,yes,CMT-011906
NPS-000260,2025-01-09,CUST-696433,b2b,5,Detractor,cs_lambat,no,
NPS-000365,2025-01-09,CUST-442519,in_store,8,Passive,cs_lambat,yes,CMT-000365
NPS-000878,2025-01-09,CUST-814059,in_store,7,Passive,pengiriman_lambat,yes,
NPS-000972,2025-01-09,CUST-998301,in_store,7,Passive,tidak_ada_komplain,yes,CMT-000972
NPS-001266,2025-01-09,CUST-825057,in_store,7,Passive,obat_tidak_lengkap,yes,CMT-001266
NPS-001839,2025-01-09,CUST-353923,apps,7,Passive,tidak_ada_komplain,yes,CMT-001839
NPS-002951,2025-01-09,CUST-929315,in_store,10,Promoter,pengiriman_lambat,yes,CMT-002951
NPS-003118,2025-01-09,CUST-753378,in_store,10,Promoter,cs_lambat,yes,
NPS-003264,2025-01-09,CUST-757179,in_store,1,Detractor,cs_lambat,definitely_no,CMT-003264
NPS-003714,2025-01-09,CUST-924019,apps,8,Passive,tidak_ada_komplain,yes,
NPS-003931,2025-01-09,CUST-563963,apps,7,Passive,harga_mahal,yes,
NPS-003950,2025-01-09,CUST-971023,in_store,10,Promoter,tidak_ada_komplain,yes,CMT-003950
NPS-004017,2025-01-09,CUST-245081,in_store,4,Detractor,obat_tidak_lengkap,definitely_no,CMT-004017
NPS-004046,2025-01-09,CUST-413300,apps,10,Promoter,tidak_ada_komplain,yes,CMT-004046
NPS-004167,2025-01-09,CUST-470228,in_store,9,Promoter,tidak_ada_komplain,yes,
NPS-004278,2025-01-09,CUST-969567,in_store,10,Promoter,tidak_ada_komplain,yes,CMT-004278
NPS-005080,2025-01-09,CUST-744073,in_store,8,Passive,tidak_ada_komplain,yes,
NPS-005540,2025-01-09,CUST-514458,in_store,7,Passive,tidak_ada_komplain,yes,
NPS-005851,2025-01-09,CUST-135964,b2b,9,Promoter,tidak_ada_komplain,yes,CMT-005851
NPS-006005,2025-01-09,CUST-808310,apps,9,Promoter,tidak_ada_komplain,yes,CMT-006005
NPS-006641,2025-01-09,CUST-258341,apps,7,Passive,tidak_ada_komplain,yes,
NPS-007192,2025-01-09,CUST-448250,b2b,8,Passive,tidak_ada_komplain,yes,CMT-007192
NPS-007569,2025-01-09,CUST-407521,apps,7,Passive,tidak_ada_komplain,yes,CMT-007569
NPS-007748,2025-01-09,CUST-792442,in_store,10,Promoter,tidak_ada_komplain,yes,
NPS-008066,2025-01-09,CUST-469127,apps,5,Detractor,harga_mahal,no,
NPS-008159,2025-01-09,CUST-375344,in_store,5,Detractor,obat_tidak_lengkap,no,CMT-008159
NPS-008398,2025-01-09,CUST-444614,b2b,9,Promoter,obat_tidak_lengkap,yes,
NPS-008990,2025-01-09,CUST-380651,apps,1,Detractor,stok_tidak_akurat,definitely_no,CMT-008990
NPS-009637,2025-01-09,CUST-825821,in_store,10,Promoter,stok_tidak_akurat,yes,
NPS-010100,2025-01-09,CUST-338541,in_store,10,Promoter,tidak_ada_komplain,yes,
NPS-010697,2025-01-09,CUST-480080,apps,6,Detractor,stok_tidak_akurat,no,
