ticket_id,created_at,customer_id,category,description,priority,status,agent_id,response_time_hours,resolved_at,source
TKT-002406,2025-01-05 00:00:00,CUST-149344,obat_salah,Sample complaint description 2406,low,closed,AGT-026,4,2025-01-05 04:00:00,website
TKT-003175,2025-01-05 00:00:00,CUST-622139,stok_kosong_apps,Sample complaint description 3175,medium,closed,AGT-007,9,2025-01-05 09:00:00,phone
TKT-003976,2025-01-05 00:00:00,CUST-225029,response_slow,Sample complaint description 3976,low,pending,AGT-024,2,,phone
TKT-001653,2025-01-06 00:00:00,CUST-783539,pengiriman_lambat,Sample complaint description 1653,high,closed,AGT-041,12,2025-01-06 12:00:00,website
TKT-001818,2025-01-06 00:00:00,CUST-436145,response_slow,Sample complaint description 1818,low,closed,AGT-015,2,2025-01-06 02:00:00,website
TKT-001932,2025-01-06 00:00:00,CUST-381191,pengiriman_lambat,Sample complaint description 1932,medium,escalated,AGT-016,19,,website
TKT-002261,2025-01-06 00:00:00,CUST-203264,aplikasi_crash,Sample complaint description 2261,medium,escalated,AGT-045,23,,website
TKT-004934,2025-01-06 00:00:00,CUST-858952,error_pembayaran,Sample complaint description 4934,medium,closed,AGT-022,18,2025-01-06 18:00:00,whatsapp
TKT-001051,2025-01-07 00:00:00,CUST-943971,aplikasi_crash,Sample complaint description 1051,high,closed,AGT-034,22,2025-01-07 22:00:00,whatsapp
TKT-001122,2025-01-07 00:00:00,CUST-607586,promo_tidak_berlaku,Sample complaint description 1122,medium,closed,AGT-029,20,2025-01-07 20:00:00,website
TKT-001766,2025-01-07 00:00:00,CUST-795353,aplikasi_crash,Sample complaint description 1766,medium,closed,AGT-017,9,2025-01-07 09:00:00,apps
TKT-001898,2025-01-07 00:00:00,CUST-655340,response_slow,Sample complaint description 1898,medium,closed,AGT-019,17,2025-01-07 17:00:00,apps
TKT-002356,2025-01-07 00:00:00,CUST-325755,error_pembayaran,Sample complaint description 2356,high,closed,AGT-006,21,2025-01-07 21:00:00,phone
TKT-002431,2025-01-07 00:00:00,CUST-875075,stok_tidak_akurat_apps,Sample complaint description 2431,medium,closed,AGT-008,7,2025-01-07 07:00:00,phone
TKT-003030,2025-01-07 00:00:00,CUST-711104,stok_kosong_apps,Sample complaint description 3030,medium,closed,AGT-021,6,2025-01-07 06:00:00,phone
TKT-000072,2025-01-08 00:00:00,CUST-883433,pengiriman_lambat,Sample complaint description 72,medium,closed,AGT-040,13,2025-01-08 13:00:00,whatsapp
TKT-000960,2025-01-08 00:00:00,CUST-878401,pengiriman_lambat,Sample complaint description 960,low,closed,AGT-022,2,2025-01-08 02:00:00,whatsapp
TKT-001174,2025-01-08 00:00:00,CUST-185678,obat_salah,Sample complaint description 1174,medium,closed,AGT-042,13,2025-01-08 13:00:00,phone
TKT-003821,2025-01-08 00:00:00,CUST-462199,error_pembayaran,Sample complaint description 3821,low,closed,AGT-002,20,2025-01-08 20:00:00,website
TKT-004358,2025-01-08 00:00:00,CUST-530624,STOCK_INACCURATE,Sample complaint description 4358,medium,closed,AGT-021,19,2025-01-08 19:00:00,apps
TKT-000326,2025-01-09 00:00:00,CUST-567208,stok_kosong_apps,Sample complaint description 326,low,closed,AGT-042,12,2025-01-09 12:00:00,apps
TKT-001497,2025-01-09 00:00:00,CUST-150689,aplikasi_crash,Sample complaint description 1497,medium,closed,AGT-010,6,2025-01-09 06:00:00,phone
TKT-001821,2025-01-09 00:00:00,CUST-858169,obat_salah,Sample complaint description 1821,medium,pending,AGT-037,12,,website
TKT-002617,2025-01-09 00:00:00,CUST-373898,slow_response,Sample complaint description 2617,low,closed,AGT-045,16,2025-01-09 16:00:00,phone
TKT-002683,2025-01-09 00:00:00,CUST-159784,aplikasi_crash,Sample complaint description 2683,medium,closed,AGT-003,7,2025-01-09 07:00:00,whatsapp
TKT-003563,2025-01-09 00:00:00,CUST-329027,CS_LAMBAT,Sample complaint description 3563,medium,closed,AGT-040,15,2025-01-09 15:00:00,website
TKT-000446,2025-01-10 00:00:00,CUST-450087,obat_salah,Sample complaint description 446,medium,pending,AGT-019,15,,website
TKT-000675,2025-01-10 00:00:00,CUST-729132,stock_issue,Sample complaint description 675,low,escalated,AGT-022,8,,website
TKT-001589,2025-01-10 00:00:00,CUST-643022,aplikasi_crash,Sample complaint description 1589,low,closed,AGT-012,8,2025-01-10 08:00:00,apps
TKT-004538,2025-01-10 00:00:00,CUST-929835,aplikasi_crash,Sample complaint description 4538,low,open,AGT-034,18,,whatsapp
TKT-004788,2025-01-10 00:00:00,CUST-526952,response_slow,Sample complaint description 4788,medium,closed,AGT-003,15,2025-01-10 15:00:00,whatsapp
TKT-004895,2025-01-10 00:00:00,CUST-176860,obat_salah,Sample complaint description 4895,high,open,AGT-011,3,,website
TKT-004989,2025-01-10 00:00:00,CUST-977435,promo_tidak_berlaku,Sample complaint description 4989,high,closed,AGT-010,5,2025-01-10 05:00:00,website
TKT-000283,2025-01-11 00:00:00,CUST-952393,stock_issue,Sample complaint description 283,low,closed,AGT-006,10,2025-01-11 10:00:00,phone
TKT-000347,2025-01-11 00:00:00,CUST-639093,cs_lambat,Sample complaint description 347,medium,closed,AGT-040,24,2025-01-12 00:00:00,phone
TKT-000961,2025-01-11 00:00:00,CUST-499965,STOCK_INACCURATE,Sample complaint description 961,low,closed,AGT-040,23,2025-01-11 23:00:00,phone
TKT-001191,2025-01-11 00:00:00,CUST-781188,stok_tidak_akurat_apps,Sample complaint description 1191,medium,pending,AGT-038,21,,phone
TKT-002419,2025-01-11 00:00:00,CUST-325981,error_pembayaran,Sample complaint description 2419,low,closed,AGT-033,23,2025-01-11 23:00:00,whatsapp
TKT-002793,2025-01-11 00:00:00,CUST-734159,pengiriman_lambat,Sample complaint description 2793,low,closed,AGT-037,19,2025-01-11 19:00:00,whatsapp
TKT-003379,2025-01-11 00:00:00,CUST-721370,lainnya,Sample complaint description 3379,medium,closed,AGT-021,12,2025-01-11 12:00:00,apps
TKT-003914,2025-01-11 00:00:00,CUST-588426,obat_salah,Sample complaint description 3914,high,escalated,AGT-028,19,,phone
TKT-004208,2025-01-11 00:00:00,CUST-935062,error_pembayaran,Sample complaint description 4208,low,closed,AGT-015,8,2025-01-11 08:00:00,whatsapp
TKT-000360,2025-01-12 00:00:00,CUST-891451,obat_salah,Sample complaint description 360,medium,closed,AGT-009,24,2025-01-13 00:00:00,phone
TKT-000980,2025-01-12 00:00:00,CUST-532459,promo_tidak_berlaku,Sample complaint description 980,low,closed,AGT-010,13,2025-01-12 13:00:00,whatsapp
TKT-001139,2025-01-12 00:00:00,CUST-293901,error_pembayaran,Sample complaint description 1139,high,closed,AGT-010,15,2025-01-12 15:00:00,whatsapp
TKT-001144,2025-01-12 00:00:00,CUST-188030,STOCK_INACCURATE,Sample complaint description 1144,medium,closed,AGT-002,24,2025-01-13 00:00:00,whatsapp
TKT-001208,2025-01-12 00:00:00,CUST-414470,stok_kosong_apps,Sample complaint description 1208,low,closed,AGT-019,5,2025-01-12 05:00:00,website
TKT-002223,2025-01-12 00:00:00,CUST-351665,lainnya,Sample complaint description 2223,low,open,AGT-036,2,,whatsapp
TKT-002946,2025-01-12 00:00:00,CUST-399884,error_pembayaran,Sample complaint description 2946,low,closed,AGT-037,22,2025-01-12 22:00:00,apps
TKT-003445,2025-01-12 00:00:00,CUST-438982,stock_issue,Sample complaint description 3445,high,closed,AGT-039,3,2025-01-12 03:00:00,phone
TKT-003496,2025-01-12 00:00:00,CUST-756984,error_pembayaran,Sample complaint description 3496,medium,closed,AGT-001,20,2025-01-12 20:00:00,website
TKT-004246,2025-01-12 00:00:00,CUST-460407,error_pembayaran,Sample complaint description 4246,low,closed,AGT-019,10,2025-01-12 10:00:00,apps
TKT-004873,2025-01-12 00:00:00,CUST-521083,aplikasi_crash,Sample complaint description 4873,low,closed,AGT-044,17,2025-01-12 17:00:00,website
TKT-000210,2025-01-13 00:00:00,CUST-903796,promo_tidak_berlaku,Sample complaint description 210,high,closed,AGT-038,13,2025-01-13 13:00:00,whatsapp
TKT-000228,2025-01-13 00:00:00,CUST-313077,lainnya,Sample complaint description 228,low,closed,AGT-004,21,2025-01-13 21:00:00,website
TKT-001023,2025-01-13 00:00:00,CUST-390395,CS_LAMBAT,Sample complaint description 1023,high,closed,AGT-020,20,2025-01-13 20:00:00,apps
TKT-003474,2025-01-13 00:00:00,CUST-349760,CS_LAMBAT,Sample complaint description 3474,low,closed,AGT-043,8,2025-01-13 08:00:00,phone
TKT-000324,2025-01-14 00:00:00,CUST-533391,stock_issue,Sample complaint description 324,medium,closed,AGT-035,17,2025-01-14 17:00:00,apps
TKT-001169,2025-01-14 00:00:00,CUST-624149,obat_salah,Sample complaint description 1169,medium,closed,AGT-025,18,2025-01-14 18:00:00,apps
TKT-001853,2025-01-14 00:00:00,CUST-249347,cs_lambat,Sample complaint description 1853,medium,closed,AGT-030,20,2025-01-14 20:00:00,phone
TKT-002292,2025-01-14 00:00:00,CUST-705403,aplikasi_crash,Sample complaint description 2292,medium,closed,AGT-017,16,2025-01-14 16:00:00,website
TKT-003260,2025-01-14 00:00:00,CUST-624401,obat_salah,Sample complaint description 3260,low,open,AGT-027,15,,apps
TKT-003506,2025-01-14 00:00:00,CUST-338853,aplikasi_crash,Sample complaint description 3506,low,closed,AGT-019,21,2025-01-14 21:00:00,whatsapp
TKT-003516,2025-01-14 00:00:00,CUST-847266,cs_lambat,Sample complaint description 3516,medium,closed,AGT-002,21,2025-01-14 21:00:00,apps
TKT-004024,2025-01-14 00:00:00,CUST-461743,error_pembayaran,Sample complaint description 4024,low,closed,AGT-026,20,2025-01-14 20:00:00,whatsapp
TKT-000519,2025-01-15 00:00:00,CUST-185601,aplikasi_crash,Sample complaint description 519,medium,closed,AGT-021,7,2025-01-15 07:00:00,apps
TKT-001106,2025-01-15 00:00:00,CUST-260134,obat_salah,Sample complaint description 1106,medium,closed,AGT-018,18,2025-01-15 18:00:00,phone
TKT-001874,2025-01-15 00:00:00,CUST-624310,obat_salah,Sample complaint description 1874,high,closed,AGT-039,7,2025-01-15 07:00:00,phone
TKT-002316,2025-01-15 00:00:00,CUST-349841,obat_salah,Sample complaint description 2316,low,closed,AGT-032,21,2025-01-15 21:00:00,whatsapp
TKT-002858,2025-01-15 00:00:00,CUST-608686,error_pembayaran,Sample complaint description 2858,medium,open,AGT-015,22,,whatsapp
TKT-002936,2025-01-15 00:00:00,CUST-601489,STOCK_INACCURATE,Sample complaint description 2936,medium,closed,AGT-031,14,2025-01-15 14:00:00,whatsapp
TKT-003338,2025-01-15 00:00:00,CUST-263640,obat_salah,Sample complaint description 3338,high,escalated,AGT-001,8,,apps
TKT-003776,2025-01-15 00:00:00,CUST-393378,stock_issue,Sample complaint description 3776,low,closed,AGT-035,11,2025-01-15 11:00:00,whatsapp
TKT-004935,2025-01-15 00:00:00,CUST-699883,lainnya,Sample complaint description 4935,medium,closed,AGT-027,15,2025-01-15 15:00:00,website
TKT-000266,2025-01-16 00:00:00,CUST-749944,lainnya,Sample complaint description 266,medium,open,AGT-041,19,,apps
TKT-000277,2025-01-16 00:00:00,CUST-481883,obat_salah,Sample complaint description 277,medium,closed,AGT-041,5,2025-01-16 05:00:00,website
TKT-000429,2025-01-16 00:00:00,CUST-287636,STOCK_INACCURATE,Sample complaint description 429,medium,closed,AGT-045,6,2025-01-16 06:00:00,phone
TKT-000470,2025-01-16 00:00:00,CUST-608872,promo_tidak_berlaku,Sample complaint description 470,medium,pending,AGT-039,3,,whatsapp
TKT-000589,2025-01-16 00:00:00,CUST-461794,STOCK_INACCURATE,Sample complaint description 589,low,closed,AGT-008,11,2025-01-16 11:00:00,website
TKT-000799,2025-01-16 00:00:00,CUST-311969,aplikasi_crash,Sample complaint description 799,low,closed,AGT-043,23,2025-01-16 23:00:00,website
TKT-001314,2025-01-16 00:00:00,CUST-393390,error_pembayaran,Sample complaint description 1314,low,closed,AGT-035,12,2025-01-16 12:00:00,whatsapp
TKT-001687,2025-01-16 00:00:00,CUST-535558,aplikasi_crash,Sample complaint description 1687,medium,closed,AGT-034,21,2025-01-16 21:00:00,apps
TKT-004104,2025-01-16 00:00:00,CUST-587434,stok_kosong_apps,Sample complaint description 4104,low,closed,AGT-028,13,2025-01-16 13:00:00,phone
TKT-004209,2025-01-16 00:00:00,CUST-757229,obat_salah,Sample complaint description 4209,low,closed,AGT-043,20,2025-01-16 20:00:00,apps
TKT-004882,2025-01-16 00:00:00,CUST-867234,pengiriman_lambat,Sample complaint description 4882,high,pending,AGT-024,18,,whatsapp
TKT-000138,2025-01-17 00:00:00,CUST-650616,stok_kosong_apps,Sample complaint description 138,medium,closed,AGT-035,13,2025-01-17 13:00:00,apps
TKT-000498,2025-01-17 00:00:00,CUST-593429,obat_salah,Sample complaint description 498,low,pending,AGT-004,16,,apps
TKT-001000,2025-01-17 00:00:00,CUST-235915,lainnya,Sample complaint description 1000,low,closed,AGT-004,20,2025-01-17 20:00:00,whatsapp
TKT-001049,2025-01-17 00:00:00,CUST-934620,stock_issue,Sample complaint description 1049,medium,closed,AGT-022,9,2025-01-17 09:00:00,whatsapp
TKT-002751,2025-01-17 00:00:00,CUST-451003,stok_tidak_akurat_apps,Sample complaint description 2751,low,closed,AGT-040,19,2025-01-17 19:00:00,apps
TKT-004136,2025-01-17 00:00:00,CUST-474548,pengiriman_lambat,Sample complaint description 4136,low,closed,AGT-044,14,2025-01-17 14:00:00,website
TKT-004340,2025-01-17 00:00:00,CUST-518138,stok_kosong_apps,Sample complaint description 4340,medium,closed,AGT-006,6,2025-01-17 06:00:00,whatsapp
TKT-004610,2025-01-17 00:00:00,CUST-537310,stock_issue,Sample complaint description 4610,low,pending,AGT-039,7,,whatsapp
TKT-000422,2025-01-18 00:00:00,CUST-249981,slow_response,Sample complaint description 422,low,closed,AGT-027,6,2025-01-18 06:00:00,whatsapp
TKT-000453,2025-01-18 00:00:00,CUST-387766,pengiriman_lambat,Sample complaint description 453,medium,closed,AGT-043,19,2025-01-18 19:00:00,whatsapp
TKT-000974,2025-01-18 00:00:00,CUST-852848,aplikasi_crash,Sample complaint description 974,medium,closed,AGT-022,17,2025-01-18 17:00:00,website
TKT-001298,2025-01-18 00:00:00,CUST-284841,response_slow,Sample complaint description 1298,medium,closed,AGT-041,21,2025-01-18 21:00:00,website
TKT-001401,2025-01-18 00:00:00,CUST-990729,pengiriman_lambat,Sample complaint description 1401,high,closed,AGT-009,12,2025-01-18 12:00:00,whatsapp
TKT-002201,2025-01-18 00:00:00,CUST-514296,STOCK_INACCURATE,Sample complaint description 2201,low,closed,AGT-018,24,2025-01-19 00:00:00,phone
TKT-002304,2025-01-18 00:00:00,CUST-707671,aplikasi_crash,Sample complaint description 2304,medium,closed,AGT-029,23,2025-01-18 23:00:00,whatsapp
TKT-003017,2025-01-18 00:00:00,CUST-613451,cs_lambat,Sample complaint description 3017,high,closed,AGT-041,15,2025-01-18 15:00:00,website
TKT-003468,2025-01-18 00:00:00,CUST-349545,response_slow,Sample complaint description 3468,low,closed,AGT-034,8,2025-01-18 08:00:00,whatsapp
TKT-003622,2025-01-18 00:00:00,CUST-895329,promo_tidak_berlaku,Sample complaint description 3622,low,closed,AGT-023,22,2025-01-18 22:00:00,apps
TKT-000837,2025-01-19 00:00:00,CUST-408761,stock_issue,Sample complaint description 837,low,closed,AGT-016,7,2025-01-19 07:00:00,website
TKT-001167,2025-01-19 00:00:00,CUST-252334,slow_response,Sample complaint description 1167,high,closed,AGT-043,15,2025-01-19 15:00:00,whatsapp
TKT-002208,2025-01-19 00:00:00,CUST-520577,obat_salah,Sample complaint description 2208,low,closed,AGT-023,12,2025-01-19 12:00:00,website
TKT-003590,2025-01-19 00:00:00,CUST-498745,slow_response,Sample complaint description 3590,medium,closed,AGT-036,22,2025-01-19 22:00:00,whatsapp
TKT-004294,2025-01-19 00:00:00,CUST-549266,cs_lambat,Sample complaint description 4294,low,closed,AGT-020,13,2025-01-19 13:00:00,whatsapp
TKT-004652,2025-01-19 00:00:00,CUST-517429,promo_tidak_berlaku,Sample complaint description 4652,low,closed,AGT-025,9,2025-01-19 09:00:00,apps
TKT-000213,2025-01-20 00:00:00,CUST-990092,response_slow,Sample complaint description 213,medium,closed,AGT-028,16,2025-01-20 16:00:00,website
TKT-000440,2025-01-20 00:00:00,CUST-987307,response_slow,Sample complaint description 440,medium,closed,AGT-009,5,2025-01-20 05:00:00,phone
TKT-000506,2025-01-20 00:00:00,CUST-636309,STOCK_INACCURATE,Sample complaint description 506,low,closed,AGT-043,21,2025-01-20 21:00:00,whatsapp
TKT-003798,2025-01-20 00:00:00,CUST-336278,stok_tidak_akurat_apps,Sample complaint description 3798,medium,closed,AGT-002,11,2025-01-20 11:00:00,whatsapp
TKT-004207,2025-01-20 00:00:00,CUST-854084,STOCK_INACCURATE,Sample complaint description 4207,low,closed,AGT-022,6,2025-01-20 06:00:00,website
TKT-000403,2025-01-21 00:00:00,CUST-103944,obat_salah,Sample complaint description 403,high,closed,AGT-026,13,2025-01-21 13:00:00,apps
TKT-002044,2025-01-21 00:00:00,CUST-306037,error_pembayaran,Sample complaint description 2044,low,closed,AGT-045,9,2025-01-21 09:00:00,website
TKT-004636,2025-01-21 00:00:00,CUST-398345,STOCK_INACCURATE,Sample complaint description 4636,low,closed,AGT-003,24,2025-01-22 00:00:00,website
TKT-000148,2025-01-22 00:00:00,CUST-901284,error_pembayaran,Sample complaint description 148,low,closed,AGT-030,5,2025-01-22 05:00:00,apps
TKT-001605,2025-01-22 00:00:00,CUST-350862,pengiriman_lambat,Sample complaint description 1605,medium,closed,AGT-021,4,2025-01-22 04:00:00,website
TKT-000117,2025-01-23 00:00:00,CUST-985380,aplikasi_crash,Sample complaint description 117,medium,closed,AGT-005,7,2025-01-23 07:00:00,phone
TKT-002076,2025-01-23 00:00:00,CUST-284889,error_pembayaran,Sample complaint description 2076,low,closed,AGT-003,8,2025-01-23 08:00:00,phone
TKT-002668,2025-01-23 00:00:00,CUST-597462,obat_salah,Sample complaint description 2668,high,closed,AGT-027,15,2025-01-23 15:00:00,apps
TKT-003271,2025-01-23 00:00:00,CUST-766503,error_pembayaran,Sample complaint description 3271,low,closed,AGT-010,14,2025-01-23 14:00:00,phone
TKT-003466,2025-01-23 00:00:00,CUST-713362,response_slow,Sample complaint description 3466,high,pending,AGT-034,7,,apps
TKT-003841,2025-01-23 00:00:00,CUST-334919,aplikasi_crash,Sample complaint description 3841,low,closed,AGT-022,24,2025-01-24 00:00:00,apps
TKT-004278,2025-01-23 00:00:00,CUST-262477,cs_lambat,Sample complaint description 4278,low,closed,AGT-012,4,2025-01-23 04:00:00,apps
TKT-004440,2025-01-23 00:00:00,CUST-169273,CS_LAMBAT,Sample complaint description 4440,medium,closed,AGT-010,17,2025-01-23 17:00:00,phone
TKT-000331,2025-01-24 00:00:00,CUST-198153,obat_salah,Sample complaint description 331,low,closed,AGT-006,19,2025-01-24 19:00:00,apps
TKT-000839,2025-01-24 00:00:00,CUST-992669,STOCK_INACCURATE,Sample complaint description 839,medium,closed,AGT-033,18,2025-01-24 18:00:00,whatsapp
TKT-002860,2025-01-24 00:00:00,CUST-604497,lainnya,Sample complaint description 2860,low,pending,AGT-038,14,,website
TKT-000265,2025-01-25 00:00:00,CUST-292376,CS_LAMBAT,Sample complaint description 265,low,closed,AGT-043,18,2025-01-25 18:00:00,whatsapp
TKT-000688,2025-01-25 00:00:00,CUST-935280,CS_LAMBAT,Sample complaint description 688,medium,open,AGT-007,2,,phone
TKT-001570,2025-01-25 00:00:00,CUST-809288,error_pembayaran,Sample complaint description 1570,medium,closed,AGT-007,7,2025-01-25 07:00:00,phone
TKT-002332,2025-01-25 00:00:00,CUST-433357,aplikasi_crash,Sample complaint description 2332,medium,closed,AGT-017,16,2025-01-25 16:00:00,website
TKT-003312,2025-01-25 00:00:00,CUST-371255,error_pembayaran,Sample complaint description 3312,low,closed,AGT-044,8,2025-01-25 08:00:00,whatsapp
TKT-003476,2025-01-25 00:00:00,CUST-833491,stok_kosong_apps,Sample complaint description 3476,medium,closed,AGT-039,17,2025-01-25 17:00:00,website
TKT-003654,2025-01-25 00:00:00,CUST-879352,cs_lambat,Sample complaint description 3654,medium,closed,AGT-032,11,2025-01-25 11:00:00,whatsapp
TKT-001156,2025-01-26 00:00:00,CUST-695815,STOCK_INACCURATE,Sample complaint description 1156,low,closed,AGT-022,23,2025-01-26 23:00:00,website
TKT-001585,2025-01-26 00:00:00,CUST-801805,pengiriman_lambat,Sample complaint description 1585,low,closed,AGT-025,21,2025-01-26 21:00:00,whatsapp
TKT-001955,2025-01-26 00:00:00,CUST-377990,response_slow,Sample complaint description 1955,low,closed,AGT-041,6,2025-01-26 06:00:00,apps
TKT-002249,2025-01-26 00:00:00,CUST-104785,stok_tidak_akurat_apps,Sample complaint description 2249,medium,closed,AGT-017,15,2025-01-26 15:00:00,apps
TKT-003139,2025-01-26 00:00:00,CUST-816613,pengiriman_lambat,Sample complaint description 3139,medium,closed,AGT-038,12,2025-01-26 12:00:00,website
TKT-004516,2025-01-26 00:00:00,CUST-230913,error_pembayaran,Sample complaint description 4516,medium,closed,AGT-008,23,2025-01-26 23:00:00,website
TKT-004841,2025-01-26 00:00:00,CUST-935453,stok_kosong_apps,Sample complaint description 4841,medium,closed,AGT-010,16,2025-01-26 16:00:00,whatsapp
TKT-000923,2025-01-27 00:00:00,CUST-260914,obat_salah,Sample complaint description 923,low,closed,AGT-036,6,2025-01-27 06:00:00,phone
TKT-002816,2025-01-27 00:00:00,CUST-992507,stock_issue,Sample complaint description 2816,medium,closed,AGT-002,8,2025-01-27 08:00:00,apps
TKT-003462,2025-01-27 00:00:00,CUST-933806,obat_salah,Sample complaint description 3462,low,escalated,AGT-016,2,,whatsapp
TKT-003464,2025-01-27 00:00:00,CUST-558631,pengiriman_lambat,Sample complaint description 3464,low,closed,AGT-034,14,2025-01-27 14:00:00,whatsapp
TKT-004620,2025-01-27 00:00:00,CUST-790237,error_pembayaran,Sample complaint description 4620,high,closed,AGT-031,13,2025-01-27 13:00:00,phone
